timestamp,open,high,low,close,volume
2024-08-06 19:55:00,186.5,186.79,186.5,186.59,38
2024-08-06 19:45:00,184.03,186.5,184.03,186.5,10
2024-08-06 19:40:00,186.5,186.79,186.5,186.79,4
2024-08-06 19:20:00,186.5,186.5,186.5,186.5,10
2024-08-06 19:00:00,186.8,186.8,186.6,186.6,687954
2024-08-06 18:45:00,185.81,185.81,185.81,185.81,1
2024-08-06 18:35:00,185.607,185.607,185.607,185.607,30
2024-08-06 18:30:00,186.8,186.8,186.59,186.6,687968
2024-08-06 18:25:00,186.79,186.79,186.79,186.79,202
2024-08-06 18:20:00,186.58,186.72,186.58,186.72,13
2024-08-06 18:15:00,186.51,186.55,186.5,186.55,73
2024-08-06 18:10:00,186.5,186.5,186.5,186.5,1
2024-08-06 18:05:00,186.632,186.79,186.632,186.79,6
2024-08-06 18:00:00,184.03,184.03,184.03,184.03,2
2024-08-06 17:50:00,186.55,186.55,185.58,185.81,56
2024-08-06 17:45:00,185.15,186.27,185.0,186.27,49
2024-08-06 17:35:00,186.55,186.8,184.03,185.99,4126
2024-08-06 17:30:00,186.79,186.79,186.79,186.79,3
2024-08-06 17:25:00,186.0,186.0,186.0,186.0,3
2024-08-06 17:20:00,186.8,186.8,186.8,186.8,1
2024-08-06 17:15:00,186.8,186.8,186.8,186.8,100
2024-08-06 17:05:00,185.99,185.99,185.99,185.99,47
2024-08-06 17:00:00,184.03,186.796,184.03,186.79,15
2024-08-06 16:55:00,186.0,186.0,185.99,185.99,5
2024-08-06 16:50:00,186.45,186.45,186.05,186.05,70
2024-08-06 16:45:00,186.45,186.52,186.45,186.52,5
2024-08-06 16:40:00,186.8,186.8,186.76,186.76,102
2024-08-06 16:35:00,186.8,186.8,186.4,186.52,48
2024-08-06 16:25:00,186.96,186.98,185.99,186.8,59
2024-08-06 16:20:00,186.8,186.81,186.8,186.81,2
2024-08-06 16:15:00,186.8,187.6,186.8,187.6,3
2024-08-06 16:10:00,186.8,189.0,186.8,189.0,687953
2024-08-06 16:05:00,186.8,189.0,186.8,186.8,12229
2024-08-06 16:00:00,186.72,189.0,186.7,186.75,1596264
2024-08-06 15:55:00,187.16,187.27,186.62,186.72,314797
2024-08-06 15:50:00,187.54,187.8,187.11,187.145,117290
2024-08-06 15:45:00,187.66,187.81,187.355,187.55,72151
2024-08-06 15:40:00,187.81,187.95,187.71,187.715,39197
