timestamp,1. open,2. high,3. low,4. close,5. volume,average_price
2024-08-06 19:55:00,186.5,186.79,186.5,186.59,38,186.595
2024-08-06 19:45:00,184.03,186.5,184.03,186.5,10,185.265
2024-08-06 19:40:00,186.5,186.79,186.5,186.79,4,186.64499999999998
2024-08-06 19:20:00,186.5,186.5,186.5,186.5,10,186.5
2024-08-06 19:00:00,186.8,186.8,186.6,186.6,687954,186.70000000000002
2024-08-06 18:45:00,185.81,185.81,185.81,185.81,1,185.81
2024-08-06 18:35:00,185.607,185.607,185.607,185.607,30,185.607
2024-08-06 18:30:00,186.8,186.8,186.59,186.6,687968,186.69750000000002
2024-08-06 18:25:00,186.79,186.79,186.79,186.79,202,186.79
2024-08-06 18:20:00,186.58,186.72,186.58,186.72,13,186.65
2024-08-06 18:15:00,186.51,186.55,186.5,186.55,73,186.52749999999997
2024-08-06 18:10:00,186.5,186.5,186.5,186.5,1,186.5
2024-08-06 18:05:00,186.632,186.79,186.632,186.79,6,186.711
2024-08-06 18:00:00,184.03,184.03,184.03,184.03,2,184.03
2024-08-06 17:50:00,186.55,186.55,185.58,185.81,56,186.1225
2024-08-06 17:45:00,185.15,186.27,185.0,186.27,49,185.6725
2024-08-06 17:35:00,186.55,186.8,184.03,185.99,4126,185.8425
2024-08-06 17:30:00,186.79,186.79,186.79,186.79,3,186.79
2024-08-06 17:25:00,186.0,186.0,186.0,186.0,3,186.0
2024-08-06 17:20:00,186.8,186.8,186.8,186.8,1,186.8
2024-08-06 17:15:00,186.8,186.8,186.8,186.8,100,186.8
2024-08-06 17:05:00,185.99,185.99,185.99,185.99,47,185.99
2024-08-06 17:00:00,184.03,186.796,184.03,186.79,15,185.4115
2024-08-06 16:55:00,186.0,186.0,185.99,185.99,5,185.995
2024-08-06 16:50:00,186.45,186.45,186.05,186.05,70,186.25
2024-08-06 16:45:00,186.45,186.52,186.45,186.52,5,186.485
2024-08-06 16:40:00,186.8,186.8,186.76,186.76,102,186.78
2024-08-06 16:35:00,186.8,186.8,186.4,186.52,48,186.63
2024-08-06 16:25:00,186.96,186.98,185.99,186.8,59,186.6825
2024-08-06 16:20:00,186.8,186.81,186.8,186.81,2,186.805
2024-08-06 16:15:00,186.8,187.6,186.8,187.6,3,187.20000000000002
2024-08-06 16:10:00,186.8,189.0,186.8,189.0,687953,187.9
2024-08-06 16:05:00,186.8,189.0,186.8,186.8,12229,187.35000000000002
2024-08-06 16:00:00,186.72,189.0,186.7,186.75,1596264,187.29250000000002
2024-08-06 15:55:00,187.16,187.27,186.62,186.72,314797,186.9425
2024-08-06 15:50:00,187.54,187.8,187.11,187.145,117290,187.39875
2024-08-06 15:45:00,187.66,187.81,187.355,187.55,72151,187.59375
2024-08-06 15:40:00,187.81,187.95,187.71,187.715,39197,187.79625000000001
2024-08-06 15:35:00,187.74,187.89,187.64,187.79,35464,187.765
2024-08-06 15:30:00,187.72,187.84,187.57,187.74,42359,187.7175
2024-08-06 15:25:00,187.975,188.03,187.625,187.735,32745,187.84125
2024-08-06 15:20:00,187.34,188.05,187.31,187.99,40701,187.6725
2024-08-06 15:15:00,187.655,187.68,187.3,187.36,26603,187.49875
2024-08-06 15:10:00,187.645,187.89,187.42,187.67,29422,187.65624999999997
2024-08-06 15:05:00,187.81,187.91,187.53,187.65,46173,187.725
2024-08-06 15:00:00,188.21,188.29,187.745,187.8,59726,188.01125000000002
2024-08-06 14:55:00,188.75,188.76,188.13,188.17,45013,188.4525
2024-08-06 14:50:00,188.815,188.85,188.635,188.725,17376,188.75625
2024-08-06 14:45:00,188.715,188.9,188.595,188.83,27510,188.76000000000002
2024-08-06 14:40:00,188.72,188.77,188.625,188.72,17280,188.70875
2024-08-06 14:35:00,188.78,188.85,188.73,188.73,19352,188.7725
2024-08-06 14:30:00,188.6,188.81,188.54,188.78,22542,188.68249999999998
2024-08-06 14:25:00,188.75,188.76,188.59,188.6,24541,188.675
2024-08-06 14:20:00,188.51,188.8,188.49,188.76,19040,188.64
2024-08-06 14:15:00,188.145,188.55,188.1,188.51,26100,188.32625000000002
2024-08-06 14:10:00,188.195,188.29,188.1,188.12,23703,188.17625
